setor;subsetor;segmento;codigo;listagem_segmento
Financeiro;Previdência e Seguros;Seguradoras;CSAB;
Financeiro;Previdência e Seguros;Seguradoras;SULA;N2             
Financeiro;Previdência e Seguros;Corretoras de Seguros;APER;NM             
Financeiro;Previdência e Seguros;Corretoras de Seguros;WIZS;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;ALSO;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;BRML;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;BRPR;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;CORR;
Financeiro;Exploração de Imóveis;Exploração de Imóveis;CCPR;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;GSHP;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;HBTS;
Financeiro;Exploração de Imóveis;Exploração de Imóveis;HBRE;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;IGBR;
Financeiro;Exploração de Imóveis;Exploração de Imóveis;IGTA;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;JPSA;
Financeiro;Exploração de Imóveis;Exploração de Imóveis;LOGG;NM             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;MNZC;MB             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;MULT;N2             
Financeiro;Exploração de Imóveis;Exploração de Imóveis;SCAR;NM             
Financeiro;Exploração de Imóveis;Intermediação Imobiliária;BBRK;NM             
Financeiro;Exploração de Imóveis;Intermediação Imobiliária;LPSB;NM             
Financeiro;Holdings Diversificadas;Holdings Diversificadas;MOAR;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;PEAB;
Financeiro;Holdings Diversificadas;Holdings Diversificadas;SIMH;NM             
Financeiro;Outros Títulos;Outros Títulos;CTBA;MB             
Financeiro;Outros Títulos;Outros Títulos;MCRJ;MB             
Financeiro;Outros Títulos;Outros Títulos;PMSP;MB             
Outros;Outros;Outros;QVQP;MB             
Outros;Outros;Outros;ALEF;MB             
Outros;Outros;Outros;ATOM;
Outros;Outros;Outros;BETP;MB             
Outros;Outros;Outros;CABI;MB             
Outros;Outros;Outros;CACO;MB             
Outros;Outros;Outros;MAPT;
Outros;Outros;Outros;CMSA;
Outros;Outros;Outros;OPGM;MB             
Outros;Outros;Outros;FIGE;
Outros;Outros;Outros;JBDU;
Outros;Outros;Outros;MGIP;
Outros;Outros;Outros;OPHE;MB             
Outros;Outros;Outros;PPAR;
Outros;Outros;Outros;PRPT;MB             
Outros;Outros;Outros;OPSE;MB             
Outros;Outros;Outros;OPTS;MB             
